,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-09-01 00:00:00+02:00,22848.5162565,784.1040816999999,3290.8469801,5896.65054395,54807.1919415,65152.702154499995,8731.1551545,342206.66737,112917.08837,10059.035560350001,14755.6742464,2514.01140235,85.1778945
2024-09-01 00:15:00+02:00,18174.9561131625,980.1301019875,2565.7451031,6400.043882024999,54807.1919415,58146.448528375,8221.912095825,326195.02462249994,112917.08837,7842.637894425001,11504.4239886625,1885.5085517624998,1232.3235380625001
2024-09-01 00:30:00+02:00,13501.395969825,1176.156122275,1840.6432261,6903.437220100001,54807.1919415,51140.19490225,7712.66903715,310183.38187499996,112917.08837,5626.240228500001,8253.173730925,1257.005701175,2379.469181625
2024-09-01 00:45:00+02:00,8827.8358264875,1372.1821425625,1115.5413491,7406.830558175,54807.1919415,44133.941276125,7203.425978475,294171.7391275,112917.08837,3409.8425625750006,5001.9234731875,628.5028505875,3526.6148251875
2024-09-01 01:00:00+02:00,4154.275683149999,1568.20816285,390.4394721,7910.22389625,54807.1919415,37127.68765,6694.1829198000005,278160.09638,112917.08837,1193.44489665,1750.67321545,0.0,4673.76046875
2024-09-01 01:15:00+02:00,3245.5278775125,1372.1821425625,355.578804875,7059.792745299999,54807.1919415,33344.335901125,6295.403251125001,270547.60166000004,112917.08837,1086.8873166375001,1594.363106975,108.23657414999998,4464.1388599875
2024-09-01 01:30:00+02:00,2336.780071875,1176.156122275,320.71813765,6209.36159435,54807.1919415,29560.98415225,5896.62358245,262935.10693999997,112917.08837,980.329736625,1438.0529985,216.47314829999996,4254.517251225
2024-09-01 01:45:00+02:00,1428.0322662375,980.1301019875,285.857470425,5358.9304434,54807.1919415,25777.632403375,5497.843913775,255322.61222,112917.08837,873.7721566125,1281.742890025,324.70972244999996,4044.8956424625003
2024-09-01 02:00:00+02:00,519.2844606,784.1040816999999,250.9968032,4508.49929245,54807.1919415,21994.2806545,5099.0642451,247710.1175,112917.08837,767.2145766,1125.43278155,432.9462965999999,3835.2740337
2024-09-01 02:15:00+02:00,908.7478059125,588.078061275,230.08040302499998,3944.9670585,54807.1919415,20781.87743765,5047.1464518,256494.4702175,112917.08837,703.280028475,1031.6467163375,324.70972244999996,2982.838254325
2024-09-01 02:30:00+02:00,1298.2111512249999,392.05204084999997,209.16400285,3381.43482455,54807.1919415,19569.474220800003,4995.2286585,265278.82293500006,112917.08837,639.34548035,937.860651125,216.47314829999996,2130.40247495
2024-09-01 02:45:00+02:00,1687.6744965374999,196.02602042499998,188.247602675,2817.9025906,54807.1919415,18357.07100395,4943.310865200001,274063.1756525,112917.08837,575.410932225,844.0745859125,108.23657414999998,1277.966695575
2024-09-01 03:00:00+02:00,2077.13784185,0.0,167.3312025,2254.37035665,54807.1919415,17144.6677871,4891.3930719,282847.52837,112917.08837,511.4763841,750.2885206999999,0.0,425.5309162
2024-09-01 03:15:00+02:00,1557.8533813875,1176.1561221625,153.3869357,1926.1367903125,54807.1919415,17015.0775573625,5208.427880325,279957.53663125,112917.08837,468.8533522125,687.7644773,324.66317561249997,319.14818715
2024-09-01 03:30:00+02:00,1038.568920925,2352.312244325,139.4426689,1597.9032239750002,54807.1919415,16885.487327625,5525.46268875,277067.5448925,112917.08837,426.230320325,625.2404339,649.3263512249999,212.7654581
2024-09-01 03:45:00+02:00,519.2844604625,3528.4683664875,125.4984021,1269.6696576375,54807.1919415,16755.8970978875,5842.497497175001,274177.55315375,112917.08837,383.6072884375,562.7163905,973.9895268375,106.38272905
2024-09-01 04:00:00+02:00,0.0,4704.62448865,111.5541353,941.4360913000002,54807.1919415,16626.30686815,6159.532305600001,271287.561415,112917.08837,340.98425655,500.1923471,1298.6527024499999,0.0
