month,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
1,27385.165837168573,171476.66177043776,7337.393174415192,70166.93602418558,11060.6828,77402.3011949889,37894.25041841935,488644.0534048387,48437.9616,13163.76434155099,14455.327751870795,33607.11618896462,83771.57957822824
2,26885.417955964673,168091.2888330192,7278.9867189301085,70475.67155736253,11060.6828,78269.99648914747,37894.25041841935,488644.0534048387,48437.9616,13058.979332241168,14340.261756656682,33938.10077122888,84712.07816206606
3,26938.16625583732,172623.43620989178,6970.619676720604,85231.97915909659,11060.6828,47474.20785783628,37894.25041841935,488644.0534048387,48437.9616,12505.748642316685,13732.750809861083,37330.46183670864,85347.2693929289
4,26922.97295426452,173853.58074665323,7027.804011801613,87176.95255933603,11060.6828,49899.54434279032,37894.25041841935,488644.0534048387,48437.961599999995,12608.341089330646,13845.409119989248,39289.38598737903,88256.59860572795
5,28057.710481300383,178857.29636094658,7401.294627221297,90049.08117328511,11060.6828,51715.26367818037,37894.25041841935,488644.0534048387,48437.9616,13278.407737140305,14581.219390322927,39973.79011870395,89517.51535349774
6,22721.359363633692,169245.34119387742,6595.386865681362,80761.023729762,11060.6828,45067.34989641076,37894.25041841935,488644.0534048387,48437.961599999995,11832.556382930108,12993.50825737025,42556.80723263369,96023.58166958996
7,23063.2099279889,166850.27025004386,6426.932025219736,83440.75426597797,11060.6828,45628.422157337845,37894.25041841935,488644.0534048387,48437.9616,11530.33735590392,12661.636995352932,40320.45216948352,91949.30613950902
8,22720.5328274308,167219.21776757162,6423.966622900451,81442.46219849306,11060.6828,44225.79990252515,37894.25041841935,488644.0534048387,48437.9616,11525.017230518037,12655.794884767778,41333.26373032293,94124.55959777662
9,7008.733410504301,175859.62819094228,6955.71154159534,87857.77210636165,11060.6828,70122.16551231398,37894.25041841935,488644.0534048387,48437.961599999995,12479.00247125914,13703.380436556989,37488.5929243043,84878.40057667096
10,8461.64992038172,172438.43493436385,6781.056730694242,87615.83025087391,11060.6828,70335.29851130246,37894.25041841935,488644.0534048387,48437.9616,12165.660292577524,13359.294673486647,38905.51233479553,86279.1701941703
11,7019.774937861649,168417.03104313224,6871.999769150896,86497.61705636953,11060.6828,70399.59719410968,37894.25041841935,488644.0534048387,48437.961599999995,12328.818065434767,13538.460679420074,38432.775479445874,83064.75925230251
12,27092.284467964273,174881.91275382796,7321.131405859348,70156.7607957409,11060.6828,79980.27551743427,37894.25041841935,488644.0534048387,48437.9616,13134.58966374159,14423.290599280956,34074.32315503087,83052.52639918558
