respondent_id,q11_notify
,Response
118865337253,Ja
118864902528,Ja
118864896513,Ja
118864429794,Ja
118864377677,Ja
118864359644,Ja
118864248189,Ja
118864149111,Ja
118864023864,Ja
118864004036,Ja
118863985701,Nein
118863934625,Ja
118863922119,Ja
118863893346,Ja
118863891002,Ja
118863872491,Ja
118863862058,Nein
118863784974,Ja
118863593040,Ja
118863567511,Nein
118863548745,Ja
118863432342,Ja
118863395010,Ja
118863368596,Ja
118863364986,Ja
118863351926,Ja
118863342592,Ja
118863331096,Ja
118863327593,Ja
118863326262,Ja
118863321869,Ja
118863315318,Ja
118752452689,Ja
118745041241,Ja
118745035969,Ja
118745035159,Ja
118728905344,Ja
118728041541,Ja
118725909916,Ja
118725489712,Ja
118725204330,Ja
118725167746,Ja
118725152865,Ja
118725110569,Ja
118723447559,Ja
118723237756,Ja
118722584838,Ja
118722351539,Ja
118721763559,Ja
118721723631,Nein
118721622091,Ja
118721620651,Ja
118721595224,Ja
118721556715,Ja
118721543449,Nein
118721499184,Ja
118721456430,Ja
118721400034,Ja
118721395041,Ja
118721391105,Ja
118721337485,Ja
118721331365,Ja
118721328556,Ja
118721197328,Ja
118721153752,Ja
118721125261,Ja
118721006467,Nein
118720956129,Ja
118720912499,Ja
118720905950,Ja
118720902903,Ja
118720900408,Ja
118720897761,Ja
118720897461,Ja
118720895378,Ja
118720891261,Ja
118720890752,Ja
118720890310,Ja
118720887674,Nein
118720887094,Ja
118720882393,Ja
118720881324,Ja
118720881244,Ja
118720880281,Nein
118720878032,Ja
118720876610,Ja
118720875003,Ja
118720874823,Ja
118720874594,Ja
118720874067,Ja
118720873582,Nein
118720873581,Ja
118720873448,Ja
118720872081,Ja
118720872071,Ja
118720869708,Ja
118720869178,Ja
118720868828,Ja
118720617197,Ja
118720359488,Ja
118720304414,Ja
118720210295,Nein
118720095220,Ja
118719940488,Ja
118719844221,Ja
118719800343,Ja
118719787450,Ja
118719777684,Ja
118719751123,Nein
118719745254,Ja
118719744912,Ja
118719740529,Ja
118719740378,Ja
118719731879,Ja
118719723990,Nein
118719722284,Nein
118719718843,Ja
118719706439,Ja
118719702607,Ja
118719701032,Nein
118719698162,Ja
118719690366,Ja
118719658084,Ja
118719657490,Nein
118719648913,Nein
118719640453,Ja
118719638341,Ja
118719632641,Ja
118719622185,Ja
118719618428,Ja
118719614056,Ja
118719609522,Nein
118719608146,Ja
118719600879,Ja
118719590338,Ja
118719585877,Ja
118719585430,Ja
118719583858,Ja
118719565260,Ja
118719560234,Ja
118719559146,Ja
118719554786,Ja
118719550176,Ja
118719549032,Ja
118719545936,Ja
118719545213,Ja
118719540468,Ja
118719539315,Nein
118719538617,Nein
118719538578,Ja
118719534721,Ja
118719536194,Ja
118718418410,Ja
118718417818,Ja
118717793319,Ja
