respondent_id,q13_income
,Response
118752452689,Keine Angabe
118745041241,Unter 3.000 CHF
118745035969,3.000 - 5.000 CHF
118745035159,7.001 - 10.000 CHF
118728905344,Über 10.000 CHF
118728041541,Über 10.000 CHF
118725909916,5.001 - 7.000 CHF
118725489712,Über 10.000 CHF
118725204330,Über 10.000 CHF
118725167746,7.001 - 10.000 CHF
118725152865,Über 10.000 CHF
118725110569,5.001 - 7.000 CHF
118723447559,Unter 3.000 CHF
118723237756,5.001 - 7.000 CHF
118722584838,3.000 - 5.000 CHF
118722351539,7.001 - 10.000 CHF
118721763559,Unter 3.000 CHF
118721723631,3.000 - 5.000 CHF
118721622091,3.000 - 5.000 CHF
118721620651,5.001 - 7.000 CHF
118721595224,Unter 3.000 CHF
118721556715,Unter 3.000 CHF
118721543449,7.001 - 10.000 CHF
118721499184,3.000 - 5.000 CHF
118721456430,7.001 - 10.000 CHF
118721400034,Keine Angabe
118721395041,7.001 - 10.000 CHF
118721391105,3.000 - 5.000 CHF
118721337485,3.000 - 5.000 CHF
118721331365,3.000 - 5.000 CHF
118721328556,3.000 - 5.000 CHF
118721197328,5.001 - 7.000 CHF
118721153752,5.001 - 7.000 CHF
118721125261,Über 10.000 CHF
118721006467,Keine Angabe
118720956129,3.000 - 5.000 CHF
118720912499,Keine Angabe
118720905950,Keine Angabe
118720902903,7.001 - 10.000 CHF
118720900408,Keine Angabe
118720897761,Über 10.000 CHF
118720897461,5.001 - 7.000 CHF
118720895378,Über 10.000 CHF
118720891261,Keine Angabe
118720890752,7.001 - 10.000 CHF
118720890310,Keine Angabe
118720887674,Keine Angabe
118720887094,Unter 3.000 CHF
118720882393,Keine Angabe
118720881324,5.001 - 7.000 CHF
118720881244,Über 10.000 CHF
118720880281,Keine Angabe
118720878032,Keine Angabe
118720876610,5.001 - 7.000 CHF
118720875003,7.001 - 10.000 CHF
118720874823,Über 10.000 CHF
118720874594,Über 10.000 CHF
118720874067,3.000 - 5.000 CHF
118720873582,Keine Angabe
118720873581,Über 10.000 CHF
118720873448,Unter 3.000 CHF
118720872081,Über 10.000 CHF
118720872071,Über 10.000 CHF
118720869708,7.001 - 10.000 CHF
118720869178,7.001 - 10.000 CHF
118720868828,7.001 - 10.000 CHF
118720617197,5.001 - 7.000 CHF
118720359488,7.001 - 10.000 CHF
118720304414,Über 10.000 CHF
118720210295,7.001 - 10.000 CHF
118720095220,7.001 - 10.000 CHF
118719940488,5.001 - 7.000 CHF
118719844221,7.001 - 10.000 CHF
118719800343,5.001 - 7.000 CHF
118719787450,Keine Angabe
118719777684,7.001 - 10.000 CHF
118719751123,Keine Angabe
118719745254,7.001 - 10.000 CHF
118719744912,3.000 - 5.000 CHF
118719740529,Unter 3.000 CHF
118719740378,Über 10.000 CHF
118719731879,3.000 - 5.000 CHF
118719723990,Über 10.000 CHF
118719722284,Über 10.000 CHF
118719718843,Über 10.000 CHF
118719706439,7.001 - 10.000 CHF
118719702607,3.000 - 5.000 CHF
118719701032,7.001 - 10.000 CHF
118719698162,Über 10.000 CHF
118719690366,Über 10.000 CHF
118719658084,Über 10.000 CHF
118719657490,5.001 - 7.000 CHF
118719648913,Keine Angabe
118719640453,Über 10.000 CHF
118719638341,3.000 - 5.000 CHF
118719632641,3.000 - 5.000 CHF
118719622185,Keine Angabe
118719618428,Keine Angabe
118719614056,Keine Angabe
118719609522,Keine Angabe
118719608146,Keine Angabe
118719600879,5.001 - 7.000 CHF
118719590338,Unter 3.000 CHF
118719585877,Keine Angabe
118719585430,Keine Angabe
118719583858,Keine Angabe
118719565260,5.001 - 7.000 CHF
118719560234,Unter 3.000 CHF
118719559146,Über 10.000 CHF
118719554786,7.001 - 10.000 CHF
118719550176,Keine Angabe
118719549032,Keine Angabe
118719545936,3.000 - 5.000 CHF
118719545213,Über 10.000 CHF
118719540468,5.001 - 7.000 CHF
118719539315,Unter 3.000 CHF
118719538617,Unter 3.000 CHF
118719538578,7.001 - 10.000 CHF
118719534721,7.001 - 10.000 CHF
118719536194,3.000 - 5.000 CHF
118718418410,Über 10.000 CHF
118718417818,7.001 - 10.000 CHF
118717793319,Über 10.000 CHF
