respondent_id,q14_education
,Response
118752452689,Universität/Master
118745041241,Fachhochschule/Bachelor
118745035969,Sekundarschule/Realschule
118745035159,Fachhochschule/Bachelor
118728905344,Universität/Master
118728041541,Fachhochschule/Bachelor
118725909916,Sekundarschule/Realschule
118725489712,Fachhochschule/Bachelor
118725204330,Berufsausbildung/Lehre/Maturität
118725167746,Fachhochschule/Bachelor
118725152865,Promotion oder höher
118725110569,Universität/Master
118723447559,Berufsausbildung/Lehre/Maturität
118723237756,Sekundarschule/Realschule
118722584838,Berufsausbildung/Lehre/Maturität
118722351539,Fachhochschule/Bachelor
118721763559,Berufsausbildung/Lehre/Maturität
118721723631,Berufsausbildung/Lehre/Maturität
118721622091,Berufsausbildung/Lehre/Maturität
118721620651,Fachhochschule/Bachelor
118721595224,Keine Schulbildung
118721556715,Berufsausbildung/Lehre/Maturität
118721543449,Fachhochschule/Bachelor
118721499184,Berufsausbildung/Lehre/Maturität
118721456430,Universität/Master
118721400034,Keine Schulbildung
118721395041,Berufsausbildung/Lehre/Maturität
118721391105,Berufsausbildung/Lehre/Maturität
118721337485,Fachhochschule/Bachelor
118721331365,Fachhochschule/Bachelor
118721328556,Berufsausbildung/Lehre/Maturität
118721197328,Berufsausbildung/Lehre/Maturität
118721153752,Berufsausbildung/Lehre/Maturität
118721125261,Fachhochschule/Bachelor
118721006467,Universität/Master
118720956129,Berufsausbildung/Lehre/Maturität
118720912499,Berufsausbildung/Lehre/Maturität
118720905950,Berufsausbildung/Lehre/Maturität
118720902903,Universität/Master
118720900408,Berufsausbildung/Lehre/Maturität
118720897761,Berufsausbildung/Lehre/Maturität
118720897461,Berufsausbildung/Lehre/Maturität
118720895378,Universität/Master
118720891261,Fachhochschule/Bachelor
118720890752,Berufsausbildung/Lehre/Maturität
118720890310,Berufsausbildung/Lehre/Maturität
118720887674,Fachhochschule/Bachelor
118720887094,Berufsausbildung/Lehre/Maturität
118720882393,Berufsausbildung/Lehre/Maturität
118720881324,Berufsausbildung/Lehre/Maturität
118720881244,Universität/Master
118720880281,Berufsausbildung/Lehre/Maturität
118720878032,Berufsausbildung/Lehre/Maturität
118720876610,Fachhochschule/Bachelor
118720875003,Universität/Master
118720874823,Universität/Master
118720874594,Fachhochschule/Bachelor
118720874067,Fachhochschule/Bachelor
118720873582,Berufsausbildung/Lehre/Maturität
118720873581,Berufsausbildung/Lehre/Maturität
118720873448,Berufsausbildung/Lehre/Maturität
118720872081,Sekundarschule/Realschule
118720872071,Universität/Master
118720869708,Universität/Master
118720869178,Berufsausbildung/Lehre/Maturität
118720868828,Fachhochschule/Bachelor
118720617197,Fachhochschule/Bachelor
118720359488,Berufsausbildung/Lehre/Maturität
118720304414,Fachhochschule/Bachelor
118720210295,Fachhochschule/Bachelor
118720095220,Universität/Master
118719940488,Berufsausbildung/Lehre/Maturität
118719844221,Fachhochschule/Bachelor
118719800343,Berufsausbildung/Lehre/Maturität
118719787450,Berufsausbildung/Lehre/Maturität
118719777684,Universität/Master
118719751123,Keine Angabe
118719745254,Fachhochschule/Bachelor
118719744912,Universität/Master
118719740529,Berufsausbildung/Lehre/Maturität
118719740378,Universität/Master
118719731879,Universität/Master
118719723990,Keine Schulbildung
118719722284,Universität/Master
118719718843,Universität/Master
118719706439,Berufsausbildung/Lehre/Maturität
118719702607,Berufsausbildung/Lehre/Maturität
118719701032,Fachhochschule/Bachelor
118719698162,Berufsausbildung/Lehre/Maturität
118719690366,Berufsausbildung/Lehre/Maturität
118719658084,Berufsausbildung/Lehre/Maturität
118719657490,Berufsausbildung/Lehre/Maturität
118719648913,Sekundarschule/Realschule
118719640453,Berufsausbildung/Lehre/Maturität
118719638341,Universität/Master
118719632641,Fachhochschule/Bachelor
118719622185,Universität/Master
118719618428,Berufsausbildung/Lehre/Maturität
118719614056,Sekundarschule/Realschule
118719609522,Keine Angabe
118719608146,Berufsausbildung/Lehre/Maturität
118719600879,Sekundarschule/Realschule
118719590338,Universität/Master
118719585877,Berufsausbildung/Lehre/Maturität
118719585430,Berufsausbildung/Lehre/Maturität
118719583858,Berufsausbildung/Lehre/Maturität
118719565260,Fachhochschule/Bachelor
118719560234,Berufsausbildung/Lehre/Maturität
118719559146,Fachhochschule/Bachelor
118719554786,Berufsausbildung/Lehre/Maturität
118719550176,Berufsausbildung/Lehre/Maturität
118719549032,Berufsausbildung/Lehre/Maturität
118719545936,Berufsausbildung/Lehre/Maturität
118719545213,Berufsausbildung/Lehre/Maturität
118719540468,Berufsausbildung/Lehre/Maturität
118719539315,Fachhochschule/Bachelor
118719538617,Berufsausbildung/Lehre/Maturität
118719538578,Universität/Master
118719534721,Berufsausbildung/Lehre/Maturität
118719536194,Universität/Master
118718418410,Universität/Master
118718417818,Universität/Master
118717793319,Fachhochschule/Bachelor
