respondent_id,q15_party
,Response
118865337253,Grüne Partei der Schweiz (GPS)
118864902528,FDP.Die Liberalen (FDP)
118864896513,FDP.Die Liberalen (FDP)
118864429794,Sozialdemokratische Partei der Schweiz (SP)
118864377677,Ich habe keine feste Parteipräferenz
118864359644,FDP.Die Liberalen (FDP)
118864248189,FDP.Die Liberalen (FDP)
118864149111,Grüne Partei der Schweiz (GPS)
118864023864,Keine Angabe
118864004036,Schweizerische Volkspartei (SVP)
118863985701,Ich habe keine feste Parteipräferenz
118863934625,Sozialdemokratische Partei der Schweiz (SP)
118863922119,Ich habe keine feste Parteipräferenz
118863893346,Keine Angabe
118863891002,Grüne Partei der Schweiz (GPS)
118863872491,Ich habe keine feste Parteipräferenz
118863862058,Ich habe keine feste Parteipräferenz
118863784974,Grünliberale Partei (GLP)
118863593040,Die Mitte
118863567511,FDP.Die Liberalen (FDP)
118863548745,Andere Partei
118863432342,Grünliberale Partei (GLP)
118863395010,Andere Partei
118863368596,FDP.Die Liberalen (FDP)
118863364986,Ich habe keine feste Parteipräferenz
118863351926,Ich habe keine feste Parteipräferenz
118863342592,Sozialdemokratische Partei der Schweiz (SP)
118863331096,Sozialdemokratische Partei der Schweiz (SP)
118863327593,Ich habe keine feste Parteipräferenz
118863326262,Schweizerische Volkspartei (SVP)
118863321869,Keine Angabe
118863315318,FDP.Die Liberalen (FDP)
118752452689,Sozialdemokratische Partei der Schweiz (SP)
118745041241,Keine Angabe
118745035969,Die Mitte
118745035159,Keine Angabe
118728905344,Ich habe keine feste Parteipräferenz
118728041541,FDP.Die Liberalen (FDP)
118725909916,Schweizerische Volkspartei (SVP)
118725489712,Sozialdemokratische Partei der Schweiz (SP)
118725204330,Grünliberale Partei (GLP)
118725167746,Grüne Partei der Schweiz (GPS)
118725152865,Die Mitte
118725110569,Grüne Partei der Schweiz (GPS)
118723447559,Sozialdemokratische Partei der Schweiz (SP)
118723237756,Keine Angabe
118722584838,Sozialdemokratische Partei der Schweiz (SP)
118722351539,Ich habe keine feste Parteipräferenz
118721763559,Keine Angabe
118721723631,Schweizerische Volkspartei (SVP)
118721622091,Sozialdemokratische Partei der Schweiz (SP)
118721620651,Sozialdemokratische Partei der Schweiz (SP)
118721595224,Keine Angabe
118721556715,Keine Angabe
118721543449,Schweizerische Volkspartei (SVP)
118721499184,Keine Angabe
118721456430,Ich habe keine feste Parteipräferenz
118721400034,FDP.Die Liberalen (FDP)
