respondent_id,electricity_type
,
118865337253,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118864902528,Weiss nicht
118864896513,Eine Mischung aus konventionellem Strom und Ökostrom
118864429794,Eine Mischung aus konventionellem Strom und Ökostrom
118864377677,Weiss nicht
118864359644,Eine Mischung aus konventionellem Strom und Ökostrom
118864248189,Eine Mischung aus konventionellem Strom und Ökostrom
118864149111,Eine Mischung aus konventionellem Strom und Ökostrom
118864023864,Eine Mischung aus konventionellem Strom und Ökostrom
118864004036,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863985701,Eine Mischung aus konventionellem Strom und Ökostrom
118863934625,Eine Mischung aus konventionellem Strom und Ökostrom
118863922119,Eine Mischung aus konventionellem Strom und Ökostrom
118863893346,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863891002,Weiss nicht
118863872491,Eine Mischung aus konventionellem Strom und Ökostrom
118863862058,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118863784974,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863593040,Eine Mischung aus konventionellem Strom und Ökostrom
118863567511,Eine Mischung aus konventionellem Strom und Ökostrom
118863548745,Eine Mischung aus konventionellem Strom und Ökostrom
118863432342,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863395010,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863368596,Eine Mischung aus konventionellem Strom und Ökostrom
118863364986,Eine Mischung aus konventionellem Strom und Ökostrom
118863351926,Eine Mischung aus konventionellem Strom und Ökostrom
118863342592,Weiss nicht
118863331096,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118863327593,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118863326262,Eine Mischung aus konventionellem Strom und Ökostrom
118863321869,Eine Mischung aus konventionellem Strom und Ökostrom
118863315318,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118752452689,Weiss nicht
118745041241,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118745035969,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118745035159,Eine Mischung aus konventionellem Strom und Ökostrom
118728905344,Weiss nicht
118728041541,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118725909916,Weiss nicht
118725489712,Eine Mischung aus konventionellem Strom und Ökostrom
118725204330,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118725167746,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118725152865,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118725110569,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118723447559,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118723237756,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118722584838,Eine Mischung aus konventionellem Strom und Ökostrom
118722351539,Eine Mischung aus konventionellem Strom und Ökostrom
118721763559,Weiss nicht
118721723631,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721622091,Weiss nicht
118721620651,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118721595224,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721556715,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721543449,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118721499184,Weiss nicht
118721456430,Eine Mischung aus konventionellem Strom und Ökostrom
118721400034,Eine Mischung aus konventionellem Strom und Ökostrom
118721395041,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721391105,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721337485,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721331365,Eine Mischung aus konventionellem Strom und Ökostrom
118721328556,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118721197328,Eine Mischung aus konventionellem Strom und Ökostrom
118721153752,Weiss nicht
118721125261,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118721006467,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720956129,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720912499,Eine Mischung aus konventionellem Strom und Ökostrom
118720905950,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720902903,Eine Mischung aus konventionellem Strom und Ökostrom
118720900408,Eine Mischung aus konventionellem Strom und Ökostrom
118720897761,Weiss nicht
118720897461,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720895378,Eine Mischung aus konventionellem Strom und Ökostrom
118720891261,Eine Mischung aus konventionellem Strom und Ökostrom
118720890752,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720890310,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720887674,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720887094,Eine Mischung aus konventionellem Strom und Ökostrom
118720882393,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720881324,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720881244,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720880281,Weiss nicht
118720878032,Weiss nicht
118720876610,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720875003,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720874823,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720874594,Eine Mischung aus konventionellem Strom und Ökostrom
118720874067,Weiss nicht
118720873582,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720873581,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720873448,Weiss nicht
118720872081,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720872071,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720869708,Weiss nicht
118720869178,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720868828,Eine Mischung aus konventionellem Strom und Ökostrom
118720617197,Eine Mischung aus konventionellem Strom und Ökostrom
118720359488,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118720304414,Eine Mischung aus konventionellem Strom und Ökostrom
118720210295,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118720095220,Eine Mischung aus konventionellem Strom und Ökostrom
118719940488,Eine Mischung aus konventionellem Strom und Ökostrom
118719844221,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719800343,Weiss nicht
118719787450,Eine Mischung aus konventionellem Strom und Ökostrom
118719777684,Weiss nicht
118719751123,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719745254,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719744912,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719740529,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719740378,Eine Mischung aus konventionellem Strom und Ökostrom
118719731879,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719723990,Weiss nicht
118719722284,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719718843,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719706439,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719702607,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719701032,Eine Mischung aus konventionellem Strom und Ökostrom
118719698162,Weiss nicht
118719690366,Eine Mischung aus konventionellem Strom und Ökostrom
118719658084,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719657490,Weiss nicht
118719648913,Eine Mischung aus konventionellem Strom und Ökostrom
118719640453,Eine Mischung aus konventionellem Strom und Ökostrom
118719638341,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719632641,Weiss nicht
118719622185,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719618428,Weiss nicht
118719614056,Weiss nicht
118719609522,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719608146,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719600879,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719590338,Eine Mischung aus konventionellem Strom und Ökostrom
118719585877,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719585430,Weiss nicht
118719583858,Weiss nicht
118719565260,Eine Mischung aus konventionellem Strom und Ökostrom
118719560234,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719559146,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118719554786,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719550176,Eine Mischung aus konventionellem Strom und Ökostrom
118719549032,Eine Mischung aus konventionellem Strom und Ökostrom
118719545936,Weiss nicht
118719545213,Eine Mischung aus konventionellem Strom und Ökostrom
118719540468,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719539315,Weiss nicht
118719538617,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719538578,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118719534721,Eine Mischung aus konventionellem Strom und Ökostrom
118719536194,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
118718418410,Eine Mischung aus konventionellem Strom und Ökostrom
118718417818,Konventionellen Strom (Kernenergie und fossilen Brennstoffen)
118717793319,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)"
