respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
,,,,,,
118752452689,2,5,4,5,3,2
118745041241,2,3,4,5,3,1
118745035969,1,3,3,5,5,2
118745035159,1,5,3,5,5,3
118728905344,4,2,1,3,3,1
118728041541,2,4,5,5,3,3
118725909916,4,2,3,4,4,3
118725489712,3,4,4,5,4,3
118725204330,1,5,5,5,1,1
118725167746,4,3,2,2,3,1
118725152865,3,4,2,4,3,3
118725110569,1,5,5,5,2,5
118723447559,1,4,3,3,3,2
118723237756,4,5,4,4,5,4
118722584838,2,5,3,4,2,2
118722351539,1,5,5,5,2,2
118721763559,1,2,4,1,5,4
118721723631,1,5,2,1,5,5
118721622091,3,5,5,3,5,5
118721620651,1,5,4,4,2,3
118721595224,1,5,5,5,1,5
118721556715,3,5,2,3,5,4
118721543449,3,4,3,4,5,3
118721499184,4,5,5,4,5,5
118721456430,2,5,5,5,5,5
118721400034,3,1,5,5,5,3
118721395041,4,5,4,4,5,4
118721391105,3,4,5,4,4,4
118721337485,4,5,4,2,3,3
118721331365,3,5,4,5,4,4
118721328556,1,5,3,2,4,2
118721197328,2,4,4,5,2,3
118721153752,1,4,3,2,4,2
118721125261,2,4,3,5,2,3
118721006467,3,2,1,2,2,3
118720956129,1,5,1,5,1,3
118720912499,1,5,2,2,2,2
118720905950,1,5,2,2,1,1
118720902903,4,5,1,4,5,1
118720900408,2,5,4,5,5,5
118720897761,5,5,3,5,3,5
118720897461,4,4,3,3,4,3
118720895378,5,5,1,5,5,5
118720891261,2,4,1,3,4,1
118720890752,2,4,3,5,4,2
118720890310,3,4,4,2,4,4
118720887674,3,3,5,5,4,3
118720887094,5,5,5,4,5,5
118720882393,3,5,5,4,5,5
118720881324,5,5,5,5,5,5
118720881244,2,5,2,4,4,3
118720880281,3,4,5,3,5,2
118720878032,2,4,3,5,4,3
118720876610,3,5,1,4,5,5
118720875003,1,5,5,5,1,5
118720874823,4,5,1,3,2,2
118720874594,2,4,1,5,4,3
118720874067,1,5,5,2,2,2
118720873582,5,5,2,2,5,4
118720873581,5,5,2,1,5,5
118720873448,1,3,5,3,5,3
118720872081,4,4,3,4,5,4
118720872071,4,4,2,5,5,4
118720869708,3,3,4,5,5,2
118720869178,2,4,3,5,4,5
118720868828,5,5,2,4,3,2
118720617197,3,4,3,5,4,5
118720359488,3,3,3,2,4,2
118720304414,3,4,2,5,3,3
118720210295,2,3,3,4,4,4
118720095220,5,5,5,2,5,5
118719940488,1,1,1,1,5,1
118719844221,5,5,5,5,4,4
118719800343,4,4,4,4,4,4
118719787450,2,4,1,3,4,3
118719777684,2,5,5,5,3,3
118719751123,5,5,5,5,4,5
118719745254,5,5,3,1,3,4
118719744912,5,5,2,5,5,4
118719740529,3,5,4,2,2,2
118719740378,1,1,1,1,1,1
118719731879,3,5,5,5,3,3
118719723990,5,5,5,5,5,5
118719722284,3,5,5,5,4,4
118719718843,3,1,2,2,1,2
118719706439,5,5,2,2,5,3
118719702607,4,5,5,3,4,4
118719701032,2,4,4,5,3,2
118719698162,2,5,5,4,3,2
118719690366,4,4,3,3,4,2
118719658084,1,3,2,4,3,
118719657490,3,1,5,5,4,3
118719648913,4,5,5,5,4,3
118719640453,1,5,4,5,3,4
118719638341,4,4,4,5,5,4
118719632641,4,5,1,,5,4
118719622185,4,5,1,5,4,4
118719618428,3,5,3,5,4,3
118719614056,3,3,5,2,5,4
118719609522,4,5,3,4,4,3
118719608146,3,4,4,3,5,3
118719600879,1,5,3,3,5,3
118719590338,4,5,2,2,5,5
118719585877,4,5,4,1,4,1
118719585430,5,4,3,3,5,2
118719583858,2,4,5,4,3,3
118719565260,3,5,3,2,4,3
118719560234,1,4,2,4,5,5
118719559146,3,5,3,5,5,2
118719554786,3,5,3,5,2,3
118719550176,2,1,4,3,3,4
118719549032,2,5,4,5,1,3
118719545936,3,5,3,5,3,3
118719545213,3,5,3,4,2,1
118719540468,2,1,2,2,2,2
118719539315,5,5,5,5,5,5
118719538617,5,4,5,3,3,2
118719538578,4,4,2,5,4,3
118719534721,3,3,2,5,2,2
118719536194,4,5,1,4,3,2
118718418410,1,4,4,5,3,3
118718417818,5,5,5,5,5,5
118717793319,3,3,2,2,2,2
