respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?
,,,,,,,,,Response,Response,Response,Wohnung (Eigentum),Wohnung (Miete),Haus (Miete),Haus (Eigentum),Response,Open-Ended Response,Response,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger,"Geschirrspüler - Ja f, freiwilligJa +, mit Kompensationoder Nein","Geschirrspüler - Falls Ja, Stromkosten-Rabatt in Prozent","Backofen und Herd - Ja f, freiwilligJa +, mit Kompensationoder Nein","Backofen und Herd - Falls Ja, Stromkosten-Rabatt in Prozent","Fernseher und Entertainment-Systeme - Ja f, freiwilligJa +, mit Kompensationoder Nein","Fernseher und Entertainment-Systeme - Falls Ja, Stromkosten-Rabatt in Prozent","Bürogeräte - Ja f, freiwilligJa +, mit Kompensationoder Nein","Bürogeräte - Falls Ja, Stromkosten-Rabatt in Prozent","Waschmaschine - Ja f, freiwilligJa +, mit Kompensationoder Nein","Waschmaschine - Falls Ja, Stromkosten-Rabatt in Prozent","Staubsauger - Ja f, freiwilligJa +, mit Kompensationoder Nein","Staubsauger - Falls Ja, Stromkosten-Rabatt in Prozent",Response,Response,Response,Response,Response
118865337253,458224841,05/14/2025 07:56:51 PM,05/14/2025 08:00:13 PM,213.55.244.17,,,,,32,Weiblich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Speicherung von Solarstrom,Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,4,5 = sehr wichtig,4,3,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,"Ja, +",,Ja,Ja,Über 10.000 CHF,Universität/Master,Grüne Partei der Schweiz (GPS)
118864902528,458224841,05/14/2025 10:45:23 AM,05/14/2025 10:49:58 AM,80.219.138.211,,,,,22,Männlich,3,Wohnung (Eigentum),,,,Weiss nicht,Weiss nicht,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,2,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",8%,Nein,0%,"Ja, +",8%,Nein,0%,Nein,0%,Nein,0%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,FDP.Die Liberalen (FDP)
118864896513,458224841,05/14/2025 10:32:59 AM,05/14/2025 10:37:44 AM,87.245.71.93,,,,,43,Männlich,2,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Stabilität der Netze,Herausforderungen für die Stabilität der Netze,2,3,3,3,3,3,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, f",0%,Nein,,"Ja, +",20%,Nein,,Nein,,"Ja, +",20%,Ja,Ja,Über 10.000 CHF,Universität/Master,FDP.Die Liberalen (FDP)
118864429794,458224841,05/13/2025 08:08:32 PM,05/13/2025 08:11:16 PM,213.55.240.232,,,,,33,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,wn,Keine der genannten Konsequenzen ist problematisch,2,4,3,3,2,3,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,3.000 - 5.000 CHF,Universität/Master,Sozialdemokratische Partei der Schweiz (SP)
118864377677,458224841,05/13/2025 07:15:26 PM,05/13/2025 07:21:32 PM,213.230.41.2,,,,,39,Männlich,1,,Wohnung (Miete),,,Weiss nicht,wn,Keine der genannten Konsequenzen ist problematisch,1 = sehr unwichtig,2,5 = sehr wichtig,3,1 = sehr unwichtig,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,Nein,,Nein,,"Ja, +",10%,Nein,,"Ja, f",10%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118864359644,458224841,05/13/2025 06:59:40 PM,05/13/2025 07:03:27 PM,51.154.3.154,,,,,40,Männlich,1,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Ja. Sonne stimmt.,Steigende Strompreise für Verbraucher,2,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, +",30%,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,FDP.Die Liberalen (FDP)
118864248189,458224841,05/13/2025 05:07:05 PM,05/13/2025 05:11:53 PM,51.154.37.40,,,,,56,Männlich,3,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Instabiler zufuhr (z.B. Sonne nur bei sonnigen Wetter),Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",,"Ja, +",2%,"Ja, +",2%,Nein,,"Ja, f",,"Ja, f",,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,FDP.Die Liberalen (FDP)
118864149111,458224841,05/13/2025 03:26:03 PM,05/13/2025 03:32:41 PM,185.12.130.78,,,,,60,Männlich,1,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,"VERTEILUNG, SPEICHERUNG, PLANBARKEIT",Herausforderungen für die Stabilität der Netze,2,4,1 = sehr unwichtig,5 = sehr wichtig,2,2,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,"Ja, f",,"Ja, +",10%,"Ja, f",,"Ja, f",,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Grüne Partei der Schweiz (GPS)
118864023864,458224841,05/13/2025 12:34:58 PM,05/13/2025 12:39:42 PM,31.165.223.187,,,,,34,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,wn,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,2,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden",,60%,,30%,,100%,,10%,,30%,,50%,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Keine Angabe
