month,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
1,25983.059641672564,163291.16255685032,6974.055736831425,68321.72989508601,31628.027399999995,78773.87003965938,36119.541991215054,394210.15339139785,98934.552,12511.913160573014,16962.370567434617,33591.405682677076,74685.53027868713
2,25626.28821270968,160219.03846240323,6938.088590014593,68602.54168121352,31628.0274,78960.82246570045,36119.541991215054,394210.15339139785,98934.552,12447.385741455453,16874.890901534563,33953.59100133948,75421.85131788786
3,25749.684002588623,164608.29983864134,6656.531400617066,83013.99863559764,31628.027399999995,47865.16673807285,36119.541991215054,394210.15339139785,98934.552,11942.253686833854,16190.084589184356,37278.35939101752,75857.50518901474
4,25662.084389640862,165711.46389691613,6698.66956878172,84859.92953033655,31628.0274,50339.96727124731,36119.541991215054,394210.1533913979,98934.552,12017.85232317957,16292.573478946237,39307.318684456455,78577.65034715645
5,26757.878708007982,170719.70182438346,7076.039138990114,87848.79390507856,31628.027399999995,52365.483634899414,36119.541991215054,394210.15339139785,98934.552,12694.87807033021,17210.415657177247,40083.68067285207,79848.19888360493
6,21626.932889591397,161391.24602056935,6290.076825327419,78448.22849404086,31628.0274,45423.928082788174,36119.541991215054,394210.1533913979,98934.552,11284.810157103762,15298.789977862365,42694.40397152151,85695.71703184194
7,21943.321360071106,159068.22064202913,6126.899744062434,80973.80868389491,31628.027399999995,45915.81269010752,36119.541991215054,394210.15339139785,98934.552,10992.059776312695,14901.908990650018,40386.79945614412,81978.46996991432
8,21656.45791827194,159387.80925883332,6123.111807739508,79277.85268354474,31628.027399999995,44616.14527967777,36119.541991215054,394210.15339139785,98934.552,10985.263970092265,14892.69593325321,41352.12930259486,83802.08221961829
9,8295.292187207886,167532.1854226147,6650.32478671147,85557.68544317564,31628.0274,70495.21466749463,36119.541991215054,394210.1533913979,98934.552,11931.118614998208,16174.988798962366,37412.96350943549,75364.62299539067
10,6496.128586571107,164028.1909568637,6478.759113507457,85080.17878133628,31628.027399999995,71114.22916213561,36119.541991215054,394210.15339139785,98934.552,11623.318550872009,15757.704992780436,38764.296223794656,76327.21184370169
11,6691.01652218638,160529.52513004266,6550.162135140861,84198.64966876953,31628.0274,71020.95751208458,36119.541991215054,394210.1533913979,98934.552,11751.420252389606,15931.372161360574,38450.31719587706,73955.19101195161
12,25808.957708599373,166775.6978715503,6973.948287206208,68256.17969264308,31628.027399999995,80449.54911274299,36119.541991215054,394210.15339139785,98934.552,12511.720388559314,16962.109227347726,34107.49593462366,73990.21776427957
